         445860 function calls (441040 primitive calls) in 3.276 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2685    0.021    0.000    0.046    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/__init__.py:688(_popToTag)
     2685    0.013    0.000    0.123    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/__init__.py:763(handle_endtag)
     2664    0.004    0.000    0.004    0.000 {method 'keys' of 'dict' objects}
     2600    0.008    0.000    0.020    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/builder/_htmlparser.py:178(handle_data)
     2571    0.033    0.000    0.057    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/builder/__init__.py:295(_replace_cdata_list_attribute_values)
     2539    0.004    0.000    0.004    0.000 /usr/lib/python3.10/html/parser.py:126(clear_cdata_mode)
     2539    0.035    0.000    0.191    0.000 /usr/lib/python3.10/html/parser.py:385(parse_endtag)
     2176    0.006    0.000    0.006    0.000 {method 'findall' of 're.Pattern' objects}
     1944    0.013    0.000    0.021    0.000 /usr/lib/python3.10/html/__init__.py:91(_replace_charref)
     1882    0.003    0.000    0.003    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpcore/_exceptions.py:7(map_exceptions)
     1821    0.003    0.000    0.003    0.000 {built-in method builtins.chr}
     1512    0.003    0.000    0.003    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_connection.py:212(their_state)
     1430    0.011    0.000    0.013    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/__init__.py:648(_linkage_fixer)
     1233    0.005    0.000    0.007    0.000 /usr/lib/python3.10/typing.py:935(_is_dunder)
     1233    0.004    0.000    0.012    0.000 /usr/lib/python3.10/typing.py:986(__setattr__)
