         371992 function calls (369258 primitive calls) in 3.109 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5446    0.010    0.000    0.010    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:2062(descendants)
     2686    0.010    0.000    0.014    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:1371(is_empty_element)
     2600    0.009    0.000    0.022    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/builder/_htmlparser.py:178(handle_data)
     2721    0.009    0.000    0.013    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/__init__.py:773(handle_data)
     5477    0.008    0.000    0.008    0.000 {method 'start' of 're.Match' objects}
     4209    0.007    0.000    0.009    0.000 {built-in method _abc._abc_instancecheck}
     2742    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x5848553629a0}
     2176    0.006    0.000    0.006    0.000 {method 'findall' of 're.Pattern' objects}
      413    0.006    0.000    0.029    0.000 {method 'sub' of 're.Pattern' objects}
     3527    0.005    0.000    0.005    0.000 {method 'join' of 'str' objects}
     2687    0.005    0.000    0.005    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/builder/__init__.py:205(can_be_empty_element)
     2687    0.005    0.000    0.006    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/builder/__init__.py:453(set_up_substitutions)
     2686    0.005    0.000    0.005    0.000 /usr/lib/python3.10/_markupbase.py:36(getpos)
     2695    0.005    0.000    0.005    0.000 {method 'endswith' of 'str' objects}
     2539    0.005    0.000    0.005    0.000 /usr/lib/python3.10/html/parser.py:126(clear_cdata_mode)
        1    0.004    0.004    0.004    0.004 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/requests/models.py:909(text)
     2585    0.004    0.000    0.004    0.000 {method 'keys' of 'dict' objects}
     2742    0.004    0.000    0.004    0.000 {method 'strip' of 'str' objects}
     2754    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
     1933    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
      328    0.003    0.000    1.495    0.005 /usr/lib/python3.10/socket.py:691(readinto)
      328    0.003    0.000    1.490    0.005 /usr/lib/python3.10/ssl.py:1292(recv_into)
      820    0.003    0.000    0.004    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:1543(get)
     1821    0.003    0.000    0.003    0.000 {built-in method builtins.chr}
      328    0.002    0.000    1.486    0.005 /usr/lib/python3.10/ssl.py:1150(read)
       19    0.002    0.000    0.410    0.022 {method 'join' of 'bytes' objects}
        4    0.002    0.000    0.002    0.000 /usr/lib/python3.10/_collections_abc.py:78(_check_methods)
        5    0.002    0.000    0.007    0.001 /usr/lib/python3.10/urllib/request.py:2487(getproxies_environment)
      415    0.002    0.000    0.004    0.000 /usr/lib/python3.10/os.py:698(__iter__)
      418    0.001    0.000    0.002    0.000 /usr/lib/python3.10/os.py:759(decode)
      415    0.001    0.000    0.005    0.000 /usr/lib/python3.10/_collections_abc.py:885(__iter__)
      120    0.001    0.000    0.010    0.000 /usr/lib/python3.10/_markupbase.py:165(parse_comment)
      328    0.001    0.000    0.002    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      660    0.001    0.000    0.001    0.000 /usr/lib/python3.10/ssl.py:1138(_checkClosed)
       42    0.001    0.000    0.016    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/urllib3/response.py:122(decompress)
      762    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
       67    0.001    0.000    0.389    0.006 {method 'read' of '_io.BufferedReader' objects}
      569    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
      120    0.001    0.000    0.008    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/builder/_htmlparser.py:241(handle_comment)
       27    0.001    0.000    0.002    0.000 /usr/lib/python3.10/urllib/parse.py:444(urlsplit)
       10    0.001    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/urllib3/util/url.py:227(_encode_invalid_chars)
      330    0.001    0.000    0.001    0.000 /usr/lib/python3.10/socket.py:730(readable)
      328    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       16    0.001    0.000    0.001    0.000 /usr/lib/python3.10/email/message.py:462(get)
       12    0.001    0.000    0.001    0.000 /usr/lib/python3.10/email/message.py:497(get_all)
       42    0.001    0.000    0.407    0.010 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/urllib3/response.py:1173(read_chunked)
        1    0.000    0.000    3.108    3.108 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex04/financial.py:8(get_financial_data)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.10/sre_parse.py:494(_parse)
       63    0.000    0.000    0.389    0.006 /usr/lib/python3.10/http/client.py:624(_safe_read)
        2    0.000    0.000    0.002    0.001 /usr/lib/python3.10/email/feedparser.py:471(_parse_headers)
       52    0.000    0.000    0.004    0.000 /usr/lib/python3.10/re.py:288(_compile)
       40    0.000    0.000    0.001    0.000 /usr/lib/python3.10/email/_policybase.py:301(header_source_parse)
        2    0.000    0.000    0.104    0.052 /usr/lib/python3.10/http/client.py:206(_read_headers)
       13    0.000    0.000    0.002    0.000 /usr/lib/python3.10/_collections_abc.py:991(update)
        6    0.000    0.000    0.003    0.001 /usr/lib/python3.10/email/feedparser.py:218(_parsegen)
      7/3    0.000    0.000    0.001    0.000 /usr/lib/python3.10/sre_compile.py:87(_compile)
